index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
30,10.576689,0.255420,0.021762,2782.337,6886.880,3732.078,0.050994,72.573,0.0159,-331.354553,142.247116,2.436896,36.106800,-51.352379,23.657179,9.832052,21.083971,0.528581,-2.281126,-13.269020,11.264981,-3.015992,unpitched,mid,soft,medium,3,1,0,1,2,1,1,3,3
31,10.832109,0.290249,0.028783,2591.179,6040.063,3552.938,0.043438,347.217,0.0358,-328.115997,143.806885,-0.566123,39.112720,-42.331142,17.792423,3.846665,11.213174,-5.553042,-9.916994,-22.819454,10.171412,-7.612971,unpitched,dark,soft,long,3,1,0,1,2,1,1,3,3
32,11.122358,0.197370,0.047244,2051.142,5176.343,3130.174,0.022651,69.697,0.0129,-315.585266,143.791946,-6.766151,76.593147,-11.926771,17.145761,19.531811,19.708580,4.376532,4.771000,-3.247178,10.858280,6.288245,unpitched,dark,soft,short,3,0,0,0,0,1,1,1,3
33,11.319728,0.058050,0.011530,2952.151,6739.893,3826.050,0.041504,,0.0000,-360.660126,135.193192,-8.191860,52.631298,-22.495569,16.221893,16.136534,7.196619,-0.678296,2.186778,-6.842754,11.331445,1.240525,unpitched,mid,soft,short,3,0,0,0,2,1,1,3,3
34,11.377778,0.243810,0.038074,2155.710,5400.732,3020.354,0.024600,86.804,0.0110,-344.928284,140.468079,-24.313717,80.139076,-3.375238,17.898788,30.953983,16.793928,4.449083,4.092299,-2.475394,11.040664,7.313389,unpitched,dark,soft,medium,3,0,0,0,0,1,1,1,3
35,11.621587,0.255420,0.025369,2653.520,6396.298,3396.526,0.050887,398.847,0.0443,-331.801361,148.412964,-10.953446,49.344749,-39.797890,22.019081,9.023467,6.250858,-4.141189,-12.173639,-21.835997,9.618891,-10.665250,unpitched,dark,soft,medium,3,1,0,1,2,1,1,3,3
36,11.877007,0.278639,0.046386,4149.006,7266.164,3670.995,0.096621,138.591,0.0124,-244.329178,92.537674,-28.472857,87.372841,-13.511636,5.632400,21.757856,7.543039,0.608443,-2.819479,-12.234418,1.732996,-3.708054,unpitched,bright,soft,long,3,1,1,1,2,3,4,4,5
37,12.155646,0.232200,0.028770,2626.492,6035.449,3281.466,0.044666,410.535,0.0983,-321.789337,137.648743,-26.004581,68.406944,-26.676809,14.164003,8.736670,21.143051,-3.542210,-0.109546,-13.445735,-2.661628,-5.649309,unpitched,dark,soft,short,3,1,0,1,2,1,1,3,3
38,12.387846,0.243810,0.042237,2373.795,5782.644,3360.553,0.028564,,0.0000,-316.326477,131.914444,-11.836758,74.461479,-9.440430,24.615873,15.647806,24.965910,-0.880698,0.877749,-4.792768,4.137241,4.367219,unpitched,dark,soft,medium,3,0,0,0,2,1,1,1,3
39,12.631655,0.267029,0.023034,2773.734,6811.670,3730.613,0.041402,373.216,0.0206,-341.825409,129.962631,-4.815640,44.578079,-37.490082,28.496780,15.633908,18.990465,2.229471,-1.309833,-17.082911,8.846810,-6.318831,unpitched,mid,soft,medium,3,1,0,1,2,1,1,3,3
