time,division,beat,phase
17.020227,32,42,0
17.069569,32,42,1
17.118912,16,42,1
17.118912,32,42,2
17.168254,32,42,3
17.217596,8,42,1
17.217596,16,42,2
17.217596,32,42,4
17.266939,32,42,5
17.316281,16,42,3
17.316281,32,42,6
17.365624,32,42,7
17.414966,4,43,0
17.414966,8,43,0
17.414966,16,43,0
17.414966,32,43,0
17.464308,32,43,1
17.513651,16,43,1
17.513651,32,43,2
17.562993,32,43,3
17.612336,8,43,1
17.612336,16,43,2
17.612336,32,43,4
17.661678,32,43,5
17.711020,16,43,3
17.711020,32,43,6
17.760363,32,43,7
17.809705,4,44,0
17.809705,8,44,0
17.809705,16,44,0
17.809705,32,44,0
17.859048,32,44,1
17.908390,16,44,1
17.908390,32,44,2
17.957732,32,44,3
18.007075,8,44,1
18.007075,16,44,2
18.007075,32,44,4
18.056417,32,44,5
18.105760,16,44,3
18.105760,32,44,6
18.155102,32,44,7
18.204444,4,45,0
18.204444,8,45,0
18.204444,16,45,0
18.204444,32,45,0
18.256689,32,45,1
18.308934,16,45,1
18.308934,32,45,2
18.361179,32,45,3
18.413424,8,45,1
18.413424,16,45,2
18.413424,32,45,4
18.465669,32,45,5
18.517914,16,45,3
18.517914,32,45,6
18.570159,32,45,7
18.622404,4,46,0
18.622404,8,46,0
18.622404,16,46,0
18.622404,32,46,0
18.673197,32,46,1
18.723991,16,46,1
18.723991,32,46,2
18.774785,32,46,3
18.825578,8,46,1
18.825578,16,46,2
18.825578,32,46,4
18.876372,32,46,5
18.927166,16,46,3
18.927166,32,46,6
18.977959,32,46,7
19.028753,4,47,0
19.028753,8,47,0
19.028753,16,47,0
19.028753,32,47,0
19.080998,32,47,1
19.133243,16,47,1
19.133243,32,47,2
19.185488,32,47,3
19.237732,8,47,1
19.237732,16,47,2
19.237732,32,47,4
19.289977,32,47,5
19.342222,16,47,3
19.342222,32,47,6
19.394467,32,47,7
19.446712,4,48,0
19.446712,8,48,0
19.446712,16,48,0
19.446712,32,48,0
19.496054,32,48,1
19.545397,16,48,1
19.545397,32,48,2
19.594739,32,48,3
19.644082,8,48,1
19.644082,16,48,2
19.644082,32,48,4
19.693424,32,48,5
19.742766,16,48,3
19.742766,32,48,6
19.792109,32,48,7
19.841451,4,49,0
19.841451,8,49,0
19.841451,16,49,0
19.841451,32,49,0
19.892245,32,49,1
19.943039,16,49,1
19.943039,32,49,2
19.993832,32,49,3
20.044626,8,49,1
20.044626,16,49,2
20.044626,32,49,4
20.095420,32,49,5
20.146213,16,49,3
20.146213,32,49,6
20.197007,32,49,7
20.247800,4,50,0
20.247800,8,50,0
20.247800,16,50,0
20.247800,32,50,0
20.294240,32,50,1
20.340680,16,50,1
20.340680,32,50,2
20.387120,32,50,3
20.433560,8,50,1
20.433560,16,50,2
20.433560,32,50,4
20.480000,32,50,5
20.526440,16,50,3
20.526440,32,50,6
20.572880,32,50,7
20.619320,4,51,0
20.619320,8,51,0
20.619320,16,51,0
20.619320,32,51,0
20.670113,32,51,1
20.720907,16,51,1
20.720907,32,51,2
20.771701,32,51,3
20.822494,8,51,1
20.822494,16,51,2
20.822494,32,51,4
20.873288,32,51,5
20.924082,16,51,3
20.924082,32,51,6
20.974875,32,51,7
21.025669,4,52,0
21.025669,8,52,0
21.025669,16,52,0
21.025669,32,52,0
21.075011,32,52,1
21.124354,16,52,1
21.124354,32,52,2
21.173696,32,52,3
21.223039,8,52,1
21.223039,16,52,2
21.223039,32,52,4
21.272381,32,52,5
21.321723,16,52,3
21.321723,32,52,6
21.371066,32,52,7
21.420408,4,53,0
21.420408,8,53,0
21.420408,16,53,0
21.420408,32,53,0
21.471202,32,53,1
21.521995,16,53,1
21.521995,32,53,2
21.572789,32,53,3
21.623583,8,53,1
21.623583,16,53,2
21.623583,32,53,4
21.674376,32,53,5
21.725170,16,53,3
21.725170,32,53,6
21.775964,32,53,7
21.826757,4,54,0
21.826757,8,54,0
21.826757,16,54,0
21.826757,32,54,0
21.874649,32,54,1
21.922540,16,54,1
21.922540,32,54,2
21.970431,32,54,3
22.018322,8,54,1
22.018322,16,54,2
22.018322,32,54,4
22.066213,32,54,5
22.114104,16,54,3
22.114104,32,54,6
22.161995,32,54,7
22.209887,4,55,0
22.209887,8,55,0
22.209887,16,55,0
22.209887,32,55,0
22.259229,32,55,1
22.308571,16,55,1
22.308571,32,55,2
22.357914,32,55,3
22.407256,8,55,1
22.407256,16,55,2
22.407256,32,55,4
22.456599,32,55,5
22.505941,16,55,3
22.505941,32,55,6
22.555283,32,55,7
22.604626,4,56,0
22.604626,8,56,0
22.604626,16,56,0
22.604626,32,56,0
22.653968,32,56,1
22.703311,16,56,1
22.703311,32,56,2
22.752653,32,56,3
22.801995,8,56,1
22.801995,16,56,2
22.801995,32,56,4
22.851338,32,56,5
22.900680,16,56,3
22.900680,32,56,6
22.950023,32,56,7
22.999365,4,57,0
22.999365,8,57,0
22.999365,16,57,0
22.999365,32,57,0
23.048707,32,57,1
23.098050,16,57,1
23.098050,32,57,2
23.147392,32,57,3
23.196735,8,57,1
23.196735,16,57,2
23.196735,32,57,4
23.246077,32,57,5
23.295420,16,57,3
23.295420,32,57,6
23.344762,32,57,7
23.394104,4,58,0
23.394104,8,58,0
23.394104,16,58,0
23.394104,32,58,0
23.443447,32,58,1
23.492789,16,58,1
23.492789,32,58,2
23.542132,32,58,3
23.591474,8,58,1
23.591474,16,58,2
23.591474,32,58,4
23.640816,32,58,5
23.690159,16,58,3
23.690159,32,58,6
23.739501,32,58,7
23.788844,4,59,0
23.788844,8,59,0
23.788844,16,59,0
23.788844,32,59,0
23.835283,32,59,1
23.881723,16,59,1
23.881723,32,59,2
23.928163,32,59,3
23.974603,8,59,1
23.974603,16,59,2
23.974603,32,59,4
24.021043,32,59,5
24.067483,16,59,3
24.067483,32,59,6
24.113923,32,59,7
24.160363,4,60,0
24.160363,8,60,0
24.160363,16,60,0
24.160363,32,60,0
24.209705,32,60,1
24.259048,16,60,1
24.259048,32,60,2
24.308390,32,60,3
24.357732,8,60,1
24.357732,16,60,2
24.357732,32,60,4
24.407075,32,60,5
24.456417,16,60,3
24.456417,32,60,6
24.505760,32,60,7
24.555102,4,61,0
24.555102,8,61,0
24.555102,16,61,0
24.555102,32,61,0
24.602993,32,61,1
24.650884,16,61,1
24.650884,32,61,2
24.698776,32,61,3
24.746667,8,61,1
24.746667,16,61,2
24.746667,32,61,4
24.794558,32,61,5
24.842449,16,61,3
24.842449,32,61,6
24.890340,32,61,7
24.938231,4,62,0
24.938231,8,62,0
24.938231,16,62,0
24.938231,32,62,0
24.986122,32,62,1
25.034014,16,62,1
25.034014,32,62,2
25.081905,32,62,3
25.129796,8,62,1
25.129796,16,62,2
25.129796,32,62,4
25.177687,32,62,5
25.225578,16,62,3
25.225578,32,62,6
25.273469,32,62,7
25.321361,4,63,0
25.321361,8,63,0
25.321361,16,63,0
25.321361,32,63,0
25.370703,32,63,1
25.420045,16,63,1
25.420045,32,63,2
25.469388,32,63,3
25.518730,8,63,1
25.518730,16,63,2
25.518730,32,63,4
25.568073,32,63,5
25.617415,16,63,3
25.617415,32,63,6
25.666757,32,63,7
25.716100,4,64,0
25.716100,8,64,0
25.716100,16,64,0
25.716100,32,64,0
25.763991,32,64,1
25.811882,16,64,1
25.811882,32,64,2
25.859773,32,64,3
25.907664,8,64,1
25.907664,16,64,2
25.907664,32,64,4
25.955556,32,64,5
26.003447,16,64,3
26.003447,32,64,6
26.051338,32,64,7
26.099229,4,65,0
26.099229,8,65,0
26.099229,16,65,0
26.099229,32,65,0
26.147120,32,65,1
26.195011,16,65,1
26.195011,32,65,2
26.242902,32,65,3
26.290794,8,65,1
26.290794,16,65,2
26.290794,32,65,4
26.338685,32,65,5
26.386576,16,65,3
26.386576,32,65,6
26.434467,32,65,7
26.482358,4,66,0
26.482358,8,66,0
26.482358,16,66,0
26.482358,32,66,0
26.533152,32,66,1
26.583946,16,66,1
26.583946,32,66,2
26.634739,32,66,3
26.685533,8,66,1
26.685533,16,66,2
26.685533,32,66,4
26.736327,32,66,5
26.787120,16,66,3
26.787120,32,66,6
26.837914,32,66,7
26.888707,4,67,0
26.888707,8,67,0
26.888707,16,67,0
26.888707,32,67,0
26.939501,32,67,1
26.990295,16,67,1
26.990295,32,67,2
27.041088,32,67,3
27.091882,8,67,1
27.091882,16,67,2
27.091882,32,67,4
27.142676,32,67,5
27.193469,16,67,3
27.193469,32,67,6
27.244263,32,67,7
27.295057,4,68,0
27.295057,8,68,0
27.295057,16,68,0
27.295057,32,68,0
27.348753,32,68,1
27.402449,16,68,1
27.402449,32,68,2
27.456145,32,68,3
27.509841,8,68,1
27.509841,16,68,2
27.509841,32,68,4
27.563537,32,68,5
27.617234,16,68,3
27.617234,32,68,6
27.670930,32,68,7
27.724626,4,69,0
27.724626,8,69,0
27.724626,16,69,0
27.724626,32,69,0
27.776871,32,69,1
27.829116,16,69,1
27.829116,32,69,2
27.881361,32,69,3
27.933605,8,69,1
27.933605,16,69,2
27.933605,32,69,4
27.985850,32,69,5
28.038095,16,69,3
28.038095,32,69,6
28.090340,32,69,7
28.142585,4,70,0
28.142585,8,70,0
28.142585,16,70,0
28.142585,32,70,0
28.191927,32,70,1
28.241270,16,70,1
28.241270,32,70,2
28.290612,32,70,3
28.339955,8,70,1
28.339955,16,70,2
28.339955,32,70,4
28.389297,32,70,5
28.438639,16,70,3
28.438639,32,70,6
28.487982,32,70,7
28.537324,4,71,0
28.537324,8,71,0
28.537324,16,71,0
28.537324,32,71,0
28.589569,32,71,1
28.641814,16,71,1
28.641814,32,71,2
28.694059,32,71,3
28.746304,8,71,1
28.746304,16,71,2
28.746304,32,71,4
28.798549,32,71,5
28.850794,16,71,3
28.850794,32,71,6
28.903039,32,71,7
28.955283,4,72,0
28.955283,8,72,0
28.955283,16,72,0
28.955283,32,72,0
29.007528,32,72,1
29.059773,16,72,1
29.059773,32,72,2
29.112018,32,72,3
29.164263,8,72,1
29.164263,16,72,2
29.164263,32,72,4
29.216508,32,72,5
29.268753,16,72,3
29.268753,32,72,6
29.320998,32,72,7
29.373243,4,73,0
29.373243,8,73,0
29.373243,16,73,0
29.373243,32,73,0
29.422585,32,73,1
29.471927,16,73,1
29.471927,32,73,2
29.521270,32,73,3
29.570612,8,73,1
29.570612,16,73,2
29.570612,32,73,4
29.619955,32,73,5
29.669297,16,73,3
29.669297,32,73,6
29.718639,32,73,7
29.767982,4,74,0
29.767982,8,74,0
29.767982,16,74,0
29.767982,32,74,0
29.820227,32,74,1
29.872472,16,74,1
29.872472,32,74,2
29.924717,32,74,3
29.976961,8,74,1
29.976961,16,74,2
29.976961,32,74,4
30.029206,32,74,5
30.081451,16,74,3
30.081451,32,74,6
30.133696,32,74,7
30.185941,4,75,0
30.185941,8,75,0
30.185941,16,75,0
30.185941,32,75,0
30.238186,32,75,1
30.290431,16,75,1
30.290431,32,75,2
30.342676,32,75,3
30.394921,8,75,1
30.394921,16,75,2
30.394921,32,75,4
30.447166,32,75,5
30.499410,16,75,3
30.499410,32,75,6
30.551655,32,75,7
30.603900,4,76,0
30.603900,8,76,0
30.603900,16,76,0
30.603900,32,76,0
30.653243,32,76,1
30.702585,16,76,1
30.702585,32,76,2
30.751927,32,76,3
30.801270,8,76,1
30.801270,16,76,2
30.801270,32,76,4
30.850612,32,76,5
30.899955,16,76,3
30.899955,32,76,6
30.949297,32,76,7
30.998639,4,77,0
30.998639,8,77,0
30.998639,16,77,0
30.998639,32,77,0
31.052336,32,77,1
31.106032,16,77,1
31.106032,32,77,2
31.159728,32,77,3
31.213424,8,77,1
31.213424,16,77,2
31.213424,32,77,4
31.267120,32,77,5
31.320816,16,77,3
31.320816,32,77,6
31.374512,32,77,7
31.428209,4,78,0
31.428209,8,78,0
31.428209,16,78,0
31.428209,32,78,0
31.479002,32,78,1
31.529796,16,78,1
31.529796,32,78,2
31.580590,32,78,3
31.631383,8,78,1
31.631383,16,78,2
31.631383,32,78,4
31.682177,32,78,5
31.732971,16,78,3
31.732971,32,78,6
31.783764,32,78,7
31.834558,4,79,0
31.834558,8,79,0
31.834558,16,79,0
31.834558,32,79,0
31.885351,32,79,1
31.936145,16,79,1
31.936145,32,79,2
31.986939,32,79,3
32.037732,8,79,1
32.037732,16,79,2
32.037732,32,79,4
32.088526,32,79,5
32.139320,16,79,3
32.139320,32,79,6
32.190113,32,79,7
32.240907,4,80,0
32.240907,8,80,0
32.240907,16,80,0
32.240907,32,80,0
32.293152,32,80,1
32.345397,16,80,1
32.345397,32,80,2
32.397642,32,80,3
32.449887,8,80,1
32.449887,16,80,2
32.449887,32,80,4
32.502132,32,80,5
32.554376,16,80,3
32.554376,32,80,6
32.606621,32,80,7
32.658866,4,81,0
32.658866,8,81,0
32.658866,16,81,0
32.658866,32,81,0
32.709660,32,81,1
32.760454,16,81,1
32.760454,32,81,2
32.811247,32,81,3
32.862041,8,81,1
32.862041,16,81,2
32.862041,32,81,4
32.912834,32,81,5
32.963628,16,81,3
32.963628,32,81,6
33.014422,32,81,7
33.065215,4,82,0
33.065215,8,82,0
33.065215,16,82,0
33.065215,32,82,0
33.116009,32,82,1
33.166803,16,82,1
33.166803,32,82,2
33.217596,32,82,3
33.268390,8,82,1
33.268390,16,82,2
33.268390,32,82,4
33.319184,32,82,5
33.369977,16,82,3
33.369977,32,82,6
33.420771,32,82,7
33.471565,4,83,0
33.471565,8,83,0
33.471565,16,83,0
33.471565,32,83,0
33.522358,32,83,1
33.573152,16,83,1
33.573152,32,83,2
33.623946,32,83,3
33.674739,8,83,1
33.674739,16,83,2
33.674739,32,83,4
33.725533,32,83,5
33.776327,16,83,3
33.776327,32,83,6
33.827120,32,83,7
33.877914,4,84,0
33.877914,8,84,0
33.877914,16,84,0
33.877914,32,84,0
