index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
247,100.252154,0.452789,0.202638,2927.574,6363.062,4143.806,0.037915,,0.0000,-128.876251,131.399612,-21.788815,8.761550,11.313647,15.807132,7.423514,16.248165,9.746130,26.567804,1.482196,10.241328,5.535391,unpitched,mid,medium,long,5,1,1,1,2,2,4,4,5
248,100.704943,0.220590,0.267888,1743.542,3271.970,3013.376,0.016772,,0.0000,-152.763992,156.531982,-28.066547,14.516159,0.061590,9.134504,11.711477,11.469136,22.761042,23.301233,6.347360,9.605280,12.896797,unpitched,dark,loud,short,2,0,0,1,1,1,1,1,1
249,100.925533,0.406349,0.262474,1529.944,2847.168,2848.969,0.018229,79.600,0.0111,-184.926453,154.361267,-23.372086,6.530830,0.858873,17.010345,17.777786,6.062230,7.478777,20.609041,18.874598,32.539932,27.914915,unpitched,dark,loud,medium,2,0,0,1,1,1,1,1,1
250,101.331882,0.429569,0.222811,3285.201,7300.889,4360.622,0.043354,,0.0000,-119.612206,118.733582,-24.175152,4.348059,-0.571588,14.969123,12.841502,29.923805,11.562727,18.744949,10.954677,22.743164,14.317413,unpitched,bright,medium,long,2,1,1,1,1,1,4,4,5
251,101.761451,0.185760,0.187996,2297.479,4641.039,3933.025,0.014505,735.727,0.0101,-166.979126,146.868774,-16.527992,-5.888736,9.235116,15.854950,6.399162,15.330894,2.444336,16.002552,17.503876,24.823120,25.536961,unpitched,mid,soft,short,2,0,0,1,1,1,1,1,1
252,101.947211,0.185760,0.208276,3394.764,8893.213,4810.606,0.035960,,0.0000,-101.043701,138.226440,-13.418943,4.426467,17.338760,4.553272,-1.380916,14.949530,-10.879102,16.777351,-0.804150,24.858028,10.544602,unpitched,bright,medium,short,5,1,1,2,3,4,4,6,7
253,102.132971,0.243810,0.319313,2002.841,3884.786,3285.185,0.024303,89.348,0.0211,-121.816704,162.647461,-6.249553,24.134111,10.450994,5.950511,5.660330,10.619400,11.968679,15.712780,5.862296,15.779236,0.541784,unpitched,dark,loud,medium,1,0,0,0,0,0,0,0,0
254,102.376780,0.197370,0.257317,1658.229,2545.703,3172.580,0.028429,921.619,0.0165,-153.839371,175.975342,1.745231,10.688616,14.928604,3.615405,6.151318,12.340717,14.367497,26.728430,7.803411,17.719566,-7.471678,unpitched,dark,loud,short,1,0,0,0,0,0,0,0,0
255,102.574150,0.406349,0.273655,1592.594,2889.038,3194.366,0.012682,87.813,0.0100,-171.474701,167.191483,8.261507,12.734350,0.782444,9.421148,10.925249,16.208153,21.541336,23.484581,9.797660,14.617512,7.137490,unpitched,dark,loud,medium,0,0,0,1,0,0,0,0,1
256,102.980499,0.208980,0.305954,3987.405,9209.411,5108.129,0.044048,86.804,0.0106,-69.594254,99.176140,-8.296139,25.531786,4.654468,16.876379,6.593142,32.177597,17.702341,24.696136,9.080679,11.857114,6.923161,unpitched,bright,loud,short,4,1,1,2,3,3,5,5,6
257,103.189478,0.824308,0.240595,2461.930,5206.848,3822.826,0.028714,88.833,0.0100,-134.951721,142.825150,-16.473639,6.197330,7.370288,16.684549,9.344836,13.960539,8.844244,24.989359,11.583635,16.687799,10.983517,unpitched,mid,medium,long,2,0,0,1,1,1,1,1,5
258,104.013787,0.197370,0.288385,1610.511,3070.874,2749.295,0.016846,,0.0000,-152.353195,163.337830,-33.825581,18.455757,6.260995,14.632200,10.814123,5.401982,19.128471,33.639336,16.700426,12.998549,2.640450,unpitched,dark,loud,short,2,0,0,1,1,1,1,1,1
259,104.211156,0.417959,0.279116,1648.168,3240.456,2939.365,0.015823,89.348,0.0100,-165.627274,159.040146,-23.610344,13.153564,3.028435,10.613891,9.037747,5.499400,17.334263,30.344248,19.743376,21.185411,12.945241,unpitched,dark,loud,long,2,0,0,1,1,1,1,1,1
260,104.629116,0.801088,0.201782,3133.494,7224.697,4439.214,0.040988,,0.0000,-130.852402,129.977493,-20.266081,-5.515882,5.681654,15.804184,10.009944,25.700397,11.412000,28.826664,12.303303,21.173820,14.563517,unpitched,mid,medium,long,2,1,1,1,1,1,4,4,5
261,105.430204,0.220590,0.358106,1774.145,3770.464,3344.613,0.018921,70.915,0.0121,-140.304153,166.905182,6.449577,10.892197,10.109621,13.317510,10.971834,17.878426,18.774742,17.706560,0.966349,6.272202,-0.226711,unpitched,dark,loud,short,1,0,0,0,0,0,0,0,0
262,105.650794,0.220590,0.268572,1681.312,2985.579,3280.546,0.017822,71.739,0.0113,-161.361832,165.060822,-3.283696,11.445029,15.442897,7.503000,16.856846,19.560680,22.777672,22.707169,-3.746712,2.779404,-11.261579,unpitched,dark,loud,short,1,0,0,0,0,0,0,0,0
263,105.871383,0.394739,0.222692,1662.197,3208.447,3209.336,0.015011,,0.0000,-183.569534,161.878464,4.062024,19.615122,6.462689,12.074409,11.951453,9.944907,10.579629,14.151936,6.339676,17.849930,13.797510,unpitched,dark,medium,medium,0,0,0,1,0,0,1,0,1
264,106.266122,0.568889,0.304743,2926.961,6391.485,4387.557,0.029287,70.915,0.0103,-115.582626,120.839149,-15.262241,3.544207,6.253608,22.656034,10.609972,19.470783,10.128764,26.152613,17.799036,18.748344,17.777563,unpitched,mid,loud,long,2,1,1,1,1,1,1,1,5
265,106.835011,0.243810,0.356543,2554.648,5617.230,3949.113,0.018022,71.326,0.0129,-115.975853,132.631851,-15.098092,14.847901,13.484888,19.039764,14.866378,20.998857,15.383224,24.264671,1.420462,7.616571,0.123238,unpitched,mid,loud,medium,3,0,0,0,2,0,0,3,3
266,107.078821,0.050000,0.288780,3160.688,7885.459,4729.804,0.010449,,0.0000,-123.669823,128.106476,0.819006,-1.914506,13.524486,12.088407,8.349318,29.073584,16.593430,28.000599,4.972227,1.230242,1.380391,unpitched,mid,loud,short,0,1,1,2,2,0,0,4,3
267,107.113651,0.383129,0.249456,1938.330,3919.676,3355.791,0.022734,71.739,0.0146,-177.156235,139.597473,-31.552437,2.495183,12.792058,6.536098,14.742602,23.744160,32.027596,41.628647,11.091990,10.606525,8.432936,unpitched,dark,medium,medium,2,0,0,1,1,1,1,1,1
268,107.496780,0.417959,0.237228,1714.690,3140.356,3129.987,0.018066,66.167,0.0102,-188.066071,146.818176,-26.674419,-0.432657,-1.692666,19.328287,24.184948,16.414656,17.226875,23.214167,15.120033,24.288033,18.449360,unpitched,dark,medium,long,2,0,0,1,1,1,1,1,1
269,107.914739,0.429569,0.260163,3157.414,6884.392,4298.827,0.036416,70.915,0.0103,-131.244888,115.924858,-22.737045,1.252400,2.789406,18.261358,10.815825,21.626593,13.066284,25.807362,16.976126,24.174068,19.816593,unpitched,mid,loud,long,2,1,1,1,1,1,1,1,5
270,108.344308,0.197370,0.297133,1996.677,3875.977,3675.061,0.020589,70.711,0.0101,-171.522049,140.616760,-24.382332,-13.853612,15.351091,23.424643,11.737819,21.791649,7.848555,13.845263,15.234894,21.951483,29.907711,unpitched,dark,loud,short,2,0,0,1,1,1,1,1,1
271,108.541678,0.208980,0.250624,3396.528,8565.682,4822.653,0.035567,71.326,0.0100,-92.538719,130.862778,-18.336267,4.045371,18.393116,4.380449,4.181227,20.258514,-6.799036,17.589027,-5.456979,24.712187,9.555546,unpitched,bright,medium,short,5,1,1,2,3,4,4,6,7
272,108.750658,0.208980,0.290084,1820.393,3531.445,3157.820,0.018426,79.141,0.0101,-139.832413,158.783340,-9.972926,25.374804,8.987786,13.822206,16.945452,23.120125,27.334406,18.859707,6.338373,5.524863,-6.536874,unpitched,dark,loud,short,1,0,0,0,0,0,0,0,0
273,108.959637,0.185760,0.201357,1928.050,3436.446,3562.075,0.018842,,0.0000,-156.266846,157.462997,-9.031514,12.835189,16.800322,12.994676,18.608908,19.648716,21.705648,23.257793,2.988080,6.992624,-14.814590,unpitched,dark,medium,short,1,0,0,0,0,0,0,0,0
274,109.145397,0.406349,0.326065,1642.759,3452.490,3224.090,0.010810,79.600,0.0108,-177.799500,147.194962,-11.662345,16.205370,17.673573,28.808298,36.153915,29.621853,23.085670,16.523735,1.777387,5.661139,-0.620255,unpitched,dark,loud,medium,3,0,0,0,0,0,0,0,0
275,109.551746,0.208980,0.351019,3847.745,8944.213,5062.144,0.034617,78.686,0.0116,-76.949333,92.698875,-9.891070,28.372238,10.607011,25.700769,16.031466,33.084446,15.340656,18.650978,4.357604,10.894785,7.960999,unpitched,bright,loud,short,3,1,1,2,3,3,5,5,6
276,109.760726,0.394739,0.283048,2228.387,4697.314,3775.461,0.018192,79.141,0.0102,-163.817657,112.695572,-31.661423,11.246604,15.848608,47.529285,37.631535,31.187836,18.831343,21.967705,9.173409,9.608736,5.218791,unpitched,mid,loud,medium,3,0,0,1,2,1,3,3,4
277,110.155465,0.638549,0.244087,2490.175,5508.270,3736.315,0.027884,79.141,0.0096,-154.483170,125.390419,-36.300869,11.924996,23.666813,28.614439,26.126638,25.451490,18.946123,31.306833,9.291602,9.410668,0.227250,unpitched,mid,medium,long,3,0,0,1,1,1,3,3,4
278,110.794014,0.406349,0.327151,1461.268,2863.318,2757.039,0.011719,79.141,0.0101,-185.258987,147.014145,-36.578514,1.801571,1.419152,25.082167,37.238602,27.326508,29.089993,34.902733,21.798264,17.876200,9.383862,unpitched,dark,loud,medium,2,0,0,1,1,1,1,1,1
279,111.200363,0.626939,0.244922,2757.721,6006.589,4133.419,0.028143,76.225,0.0100,-151.152878,119.022034,-26.390162,-4.645738,2.593181,23.617735,22.024403,35.465637,21.248743,29.178974,18.507282,22.089777,18.153290,unpitched,mid,medium,long,2,0,0,1,1,1,1,1,5
280,111.827302,0.197370,0.204066,3276.336,9170.752,5044.037,0.034695,,0.0000,-164.667007,129.727509,-6.684543,-18.399466,26.744617,15.111108,3.675206,33.656307,7.381961,32.986912,7.565564,26.755665,13.149082,unpitched,bright,medium,short,5,1,1,1,1,4,4,6,7
281,112.024671,0.429569,0.284796,1413.740,2717.150,2900.565,0.020919,976.421,0.0309,-223.942642,151.518478,-22.312128,-23.128855,5.544710,7.568314,15.541894,40.189320,40.684471,50.171455,31.700708,21.850939,-0.786033,unpitched,dark,loud,long,2,0,0,1,1,1,1,1,1
282,112.454240,0.394739,0.246973,1168.647,1744.189,2609.355,0.015681,72.155,0.0100,-221.531998,169.880783,-17.362638,-16.307505,-5.481869,3.385999,16.505917,26.899225,23.664886,32.471573,23.827387,28.082401,17.089870,unpitched,dark,medium,medium,2,0,0,1,1,1,1,1,1
283,112.848980,0.255420,0.281807,1194.121,1888.368,2622.991,0.010063,71.739,0.0101,-206.834076,170.476334,-23.126961,-17.347164,-1.894591,15.277948,18.534704,18.812897,18.781487,23.397636,23.211964,32.306080,20.222252,unpitched,dark,loud,medium,2,0,0,1,1,1,1,1,1
