index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster,transient_cluster
51,48.494875,0.464399,0.098510,2367.824,4299.288,2306.180,0.071468,,0.0000,-230.694748,158.571350,-32.527084,33.709808,-11.369252,-5.589612,1.319574,-2.038788,-0.889061,-5.406349,5.416113,0.367563,1.693292,unpitched,mid,loud,long,0,0
52,48.959274,0.104490,0.021537,3082.003,5484.507,2948.075,0.072803,,0.0000,-316.913208,146.194168,-72.665131,76.954437,15.356125,7.358385,5.156714,-11.337954,-1.333151,3.885623,8.961420,2.465456,13.193701,unpitched,mid,soft,short,3,3
53,49.063764,0.162540,0.135094,726.964,1017.803,1805.649,0.010091,,0.0000,-366.791534,178.995148,66.791550,44.455425,28.525141,8.009395,10.800930,9.359118,-2.988998,-0.442129,6.029165,3.148118,2.979720,unpitched,dark,loud,short,0,0
54,49.226304,0.359909,0.090094,1484.787,2462.187,1872.535,0.044479,,0.0000,-298.641602,172.828644,-2.805682,34.875221,20.073250,2.002265,15.189961,3.660628,-4.200686,0.492227,4.043725,2.484809,8.592689,unpitched,dark,medium,long,0,0
55,49.586213,0.278639,0.070760,3323.463,6099.064,2796.080,0.098906,,0.0000,-187.848053,156.197968,-89.649353,45.411934,-38.696903,-5.130019,-5.335790,-7.756226,-2.077813,-8.804240,7.892301,1.840600,2.052650,unpitched,mid,medium,long,4,4
56,49.864853,0.464399,0.075215,1324.647,2412.769,1824.031,0.032774,,0.0000,-310.056702,174.709061,2.446497,32.742031,28.174870,-6.431435,8.328349,4.478015,-7.990295,-2.542960,-2.988912,-2.662121,3.599181,unpitched,dark,medium,long,0,0
57,50.329252,0.359909,0.090687,1458.434,2415.083,1787.254,0.044083,,0.0000,-308.559418,164.475739,-1.532919,37.449921,23.030266,4.188743,18.323772,8.881605,0.730392,1.801946,0.615499,-2.548578,5.531650,unpitched,dark,medium,long,0,0
58,50.689161,0.278639,0.068432,3304.785,6024.129,2546.432,0.107070,,0.0000,-191.611206,163.299637,-98.817719,49.137943,-38.235794,-8.743274,-4.712488,-10.218317,0.620733,-11.522630,9.107880,-0.461281,1.736192,unpitched,mid,medium,long,4,4
59,50.967800,0.174150,0.131484,742.736,1014.752,1460.734,0.014801,,0.0000,-336.430023,183.569794,39.514954,35.007252,28.869253,8.008947,10.531736,10.413355,2.559784,2.074964,2.737907,-2.067622,-1.257541,unpitched,dark,loud,medium,0,0
60,51.141950,0.104490,0.019764,2935.032,5353.154,2609.399,0.077441,,0.0000,-327.592499,153.348785,-86.279243,81.202087,10.134990,18.085527,12.376977,-3.747347,10.309167,4.988198,8.118179,-5.346917,2.584833,unpitched,mid,soft,short,3,3
61,51.246440,0.139320,0.157936,818.064,1393.033,1928.780,0.010329,,0.0000,-341.590027,182.858963,59.361858,43.409309,28.336956,10.531119,12.795833,14.380340,5.041060,0.981677,-0.480954,-2.362129,2.208346,unpitched,dark,loud,short,0,0
62,51.385760,0.050000,0.023665,2247.614,4896.650,3839.265,0.013574,,0.0000,-356.520996,153.045807,4.495418,38.437931,8.285854,16.877319,15.052030,-0.898010,2.893365,4.530923,10.500950,3.842845,0.059611,unpitched,mid,soft,short,0,3
63,51.420590,0.359909,0.090129,1467.369,2491.795,1792.698,0.045059,,0.0000,-298.878937,169.629089,-3.348909,35.182762,17.918633,0.035317,18.078651,11.728717,4.011476,3.933276,2.441040,-1.404716,4.751356,unpitched,dark,medium,long,0,0
64,51.780499,0.278639,0.068515,3280.689,5992.260,2512.845,0.105605,,0.0000,-193.203873,168.574356,-102.075157,51.182606,-39.154476,-10.520348,-3.336549,-10.687138,3.968781,-10.848583,9.987214,-1.923499,0.531125,unpitched,mid,medium,long,4,4
65,52.059138,0.185760,0.044322,2180.166,4059.642,2064.737,0.060863,,0.0000,-268.301208,210.981323,-96.085358,49.829369,20.954330,-15.493793,12.222670,-3.692159,-4.730030,-13.068260,0.791170,-9.865727,-3.731373,unpitched,mid,soft,medium,1,1
66,52.244898,0.267029,0.097993,771.575,1308.142,1659.026,0.010946,,0.0000,-358.267548,169.979004,40.892277,31.209494,30.670492,7.577141,9.756497,11.610745,2.973549,8.118009,8.391955,1.987801,6.087306,unpitched,dark,loud,medium,0,0
67,52.511927,0.359909,0.091112,1484.266,2468.916,1722.581,0.045761,,0.0000,-293.891418,171.709442,-7.302122,30.093857,18.092155,0.140031,17.033752,5.903393,-2.538913,2.142693,5.054720,3.155664,6.632017,unpitched,dark,medium,long,0,0
68,52.871837,0.278639,0.068721,3302.749,6021.545,2562.686,0.105508,,0.0000,-182.860794,161.632309,-99.265778,45.141094,-40.334293,-8.598847,-5.137299,-7.514553,-0.214478,-8.577434,6.888938,0.361607,-1.139596,unpitched,mid,medium,long,4,4
