index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
47,11.575147,0.050000,0.144054,5416.848,13458.252,6199.903,0.040234,,0.0000,-285.408722,77.778542,52.114941,36.649162,7.487790,10.451811,-0.469488,-2.285731,-2.014041,4.150767,-5.971499,-4.239398,-12.097215,unpitched,bright,loud,short,5,1,2,3,4,5,5,5
48,11.609977,0.371519,0.092858,1923.986,2895.890,3487.122,0.012710,,0.0000,-380.997559,92.909355,55.859043,56.508141,37.900818,25.797134,13.706197,11.087091,15.783648,18.629925,10.174382,7.113363,3.562173,unpitched,dark,loud,long,2,1,2,3,4,2,2,2
49,11.981497,0.417959,0.060990,3990.233,8957.231,5016.803,0.051217,,0.0000,-367.676025,73.899971,14.911060,36.557564,20.943748,23.049587,18.021315,5.256162,8.246387,7.137398,5.670526,2.909716,1.214751,unpitched,mid,medium,long,5,1,2,3,4,5,5,5
50,12.399456,0.208980,0.028997,4744.558,9457.609,5138.076,0.066638,,0.0000,-316.813232,109.772911,-18.768829,-9.953906,7.639457,3.677104,0.820432,13.450593,-8.712257,6.529175,3.004411,-1.765485,4.089298,unpitched,bright,soft,medium,1,1,0,1,1,1,1,1
51,12.608435,0.232200,0.122175,1736.593,3101.807,3479.311,0.017206,,0.0000,-374.892059,105.591591,55.698154,52.607655,34.009418,22.767679,12.112372,6.439210,10.887721,17.402096,10.270308,5.273839,0.741930,unpitched,dark,loud,medium,4,1,0,1,3,4,4,4
52,12.840635,0.371519,0.070095,3011.824,6064.533,4290.452,0.037139,,0.0000,-344.954193,85.840630,13.325092,43.728680,29.551155,31.819147,22.054670,3.546456,12.040486,13.071528,8.976786,2.997018,2.637691,unpitched,dark,medium,long,5,1,2,3,4,5,5,5
53,13.212154,0.050000,0.049022,5930.419,13738.184,6190.881,0.044238,,0.0000,-346.969421,76.044861,44.898754,35.387199,6.631516,10.265642,3.882037,1.969392,-3.131805,6.286536,-5.641294,-0.427974,-3.829171,unpitched,bright,medium,short,5,1,2,3,4,5,5,5
54,13.246984,0.592109,0.093302,2800.799,5365.080,3958.496,0.037250,,0.0000,-341.973145,88.709686,31.164959,46.236614,28.579271,23.942268,13.306408,2.903630,11.790334,14.049275,7.685493,2.209297,-0.196971,unpitched,dark,loud,long,5,1,2,3,4,5,5,5
55,13.839093,0.050000,0.031018,7313.953,15650.332,6461.699,0.097559,,0.0000,-286.950134,65.285667,14.158714,-5.157512,-12.798525,9.406761,2.678247,-1.879701,-4.416608,9.580739,-0.973040,-0.031168,-3.967182,unpitched,bright,soft,short,5,1,2,3,4,5,5,5
56,13.873923,0.359909,0.046774,3785.409,7682.643,4817.334,0.049164,,0.0000,-363.861664,93.431107,20.927486,21.656847,23.372269,13.220341,7.499483,10.844591,-2.733676,6.549437,-0.014465,-4.164154,0.209164,unpitched,mid,medium,long,5,1,2,3,4,5,5,5
57,14.233832,0.255420,0.112607,2331.733,4604.361,3850.112,0.013290,,0.0000,-369.030029,98.055031,59.863117,55.439022,31.853304,22.463907,11.175562,6.415845,8.512509,13.520874,6.133948,3.912176,0.193976,unpitched,dark,loud,medium,4,1,0,1,3,4,4,4
58,14.489252,0.371519,0.051445,3620.825,7614.924,4643.766,0.045366,,0.0000,-373.732788,79.788643,3.277252,46.728165,26.903130,29.669397,17.582769,3.262783,16.247465,17.178322,12.909955,5.636180,1.107081,unpitched,mid,medium,long,5,1,2,3,4,5,5,5
59,14.860771,0.050000,0.118372,5983.870,14056.875,6185.302,0.067383,,0.0000,-289.047974,69.950790,39.830986,28.688519,3.240961,6.789525,1.331545,1.053352,-2.644827,1.412195,-6.450247,-5.436332,-13.710874,unpitched,bright,loud,short,5,1,2,3,4,5,5,5
60,14.895601,0.371519,0.097233,1999.992,3066.198,3511.133,0.013509,,0.0000,-372.380371,92.824379,53.966743,59.611050,39.966026,24.986198,13.238204,10.857201,15.845971,18.944700,9.914149,6.702724,2.052078,unpitched,dark,loud,long,2,1,2,3,4,2,2,2
61,15.267120,0.325079,0.047199,5920.124,12058.594,5436.273,0.103415,,0.0000,-345.963806,49.986801,-25.146364,17.080908,11.717489,25.993706,16.441660,0.462505,12.815786,12.767211,9.273200,4.781822,1.877957,unpitched,bright,medium,long,2,1,2,3,4,2,2,2
62,15.592200,0.104490,0.091150,1380.383,2002.588,3193.215,0.016406,,0.0000,-410.592468,142.418213,61.698536,50.180355,19.558155,11.650589,24.603474,13.449875,-7.595959,1.538066,5.017129,-4.318448,4.878493,unpitched,dark,loud,short,1,1,0,1,1,1,1,1
63,15.696689,0.208980,0.028782,4748.106,9873.540,5278.728,0.065892,,0.0000,-312.519287,110.412788,-14.189035,-6.633811,10.321912,-0.066022,-2.404895,10.042636,-6.149764,10.209697,4.916988,-0.444274,4.192146,unpitched,bright,soft,medium,1,1,0,1,1,1,1,1
64,15.905669,0.220590,0.128744,1822.421,2970.505,3276.198,0.013184,,0.0000,-357.666870,117.662704,59.066082,55.405598,34.605652,19.556658,6.407189,2.724340,10.000002,17.667492,9.299579,3.531600,-1.314172,unpitched,dark,loud,medium,4,1,0,1,3,4,4,4
65,16.126259,0.394739,0.058392,3613.997,7057.191,4446.634,0.049245,,0.0000,-284.507263,104.583801,-20.100239,16.798140,18.890558,21.788967,12.576308,7.049599,7.531654,13.640143,9.299494,3.553931,5.220068,unpitched,mid,medium,long,5,1,2,3,4,5,5,5
66,16.520998,0.336689,0.104561,2186.630,4311.665,3772.731,0.012516,,0.0000,-329.461853,117.954063,43.495548,38.453842,25.732758,17.826929,9.590072,9.698488,10.046319,17.146070,9.002646,5.493829,2.955199,unpitched,dark,loud,long,2,1,2,3,4,2,2,2
67,16.857687,0.290249,0.056165,4123.171,8766.498,4898.178,0.062350,,0.0000,-331.627075,83.656265,-23.181580,23.099112,22.283924,26.323465,16.369427,2.274122,11.229548,12.471163,10.922252,4.287570,4.582676,unpitched,mid,medium,medium,4,1,0,1,3,4,4,4
68,17.147937,0.301859,0.040920,5961.209,12262.760,5687.208,0.072645,,0.0000,-431.757843,43.842602,32.589062,37.142292,19.633154,18.677589,16.009699,13.310310,7.309320,8.184484,2.075127,3.139289,0.450065,unpitched,bright,medium,medium,0,1,2,0,0,0,0,0
69,17.449796,0.325079,0.108429,2485.284,4167.789,3631.407,0.008957,,0.0000,-351.090057,106.916832,56.466190,54.671478,33.544979,22.563473,10.827445,6.454533,10.637336,18.137764,7.932555,3.449307,1.356275,unpitched,dark,loud,long,2,1,2,3,4,2,2,2
70,17.774875,0.359909,0.042409,5280.983,10809.668,5239.669,0.076385,,0.0000,-396.039856,54.475452,-7.841117,35.024406,23.514721,27.990723,16.738476,2.587191,13.395193,13.027466,9.564343,6.101360,2.751085,unpitched,bright,medium,long,5,1,2,3,4,5,5,5
71,18.134785,0.050000,0.001318,5803.149,15000.029,6742.883,0.090527,,0.0000,-552.660706,86.404587,40.616749,27.449360,11.862313,1.371571,-3.528394,-3.396119,0.661196,2.606300,-1.446452,-3.945801,-8.078897,unpitched,bright,soft,short,5,1,2,3,4,5,5,5
72,18.169615,0.394739,0.094782,2096.364,3285.967,3407.059,0.017369,,0.0000,-377.174377,94.248573,59.778221,56.419201,37.762684,24.690420,9.257860,6.267471,13.263954,18.941101,10.191821,5.591049,1.554633,unpitched,dark,loud,long,5,1,2,3,4,5,5,5
73,18.564354,0.290249,0.051293,6170.640,12159.634,5360.741,0.094764,,0.0000,-344.726105,38.221867,-31.401155,19.177568,14.562437,29.142710,17.942629,-1.853789,12.213348,13.049267,9.292011,4.586117,0.802123,unpitched,bright,medium,medium,4,1,0,1,3,4,4,4
74,18.854603,0.336689,0.050321,3716.869,7421.777,4494.796,0.055957,,0.0000,-365.572632,118.293877,15.580050,6.221364,13.068899,9.167097,8.916361,8.088675,-7.495622,5.491311,3.780804,-3.464922,1.363615,unpitched,mid,medium,long,2,1,2,3,4,2,2,2
75,19.191293,0.232200,0.128152,2178.469,4117.969,3548.074,0.017392,,0.0000,-338.030426,111.271576,58.337749,54.537933,30.568411,20.367510,6.260512,1.831665,10.421507,16.020405,6.580282,3.104954,-2.383248,unpitched,dark,loud,medium,4,1,0,1,3,4,4,4
76,19.423492,0.383129,0.045828,3996.530,8501.815,4921.624,0.050236,,0.0000,-400.378174,71.877045,5.524158,45.584927,26.767353,24.822882,14.612204,2.591385,16.491301,14.243991,10.349070,5.816399,3.415146,unpitched,mid,medium,long,5,1,2,3,4,5,5,5
77,19.806621,0.336689,0.107962,2260.104,4328.892,3726.599,0.020622,,0.0000,-327.306183,116.961098,43.334728,38.524948,26.111601,16.971525,8.050634,7.400580,9.304692,16.572565,8.723067,4.862363,1.104120,unpitched,dark,loud,long,2,1,2,3,4,2,2,2
78,20.143311,0.290249,0.053203,4792.562,9728.039,5105.804,0.069035,,0.0000,-339.611176,72.270775,-28.898048,20.147779,17.948160,23.490532,13.470518,-0.912954,10.689909,13.527246,12.540636,4.959980,6.068285,unpitched,bright,medium,medium,4,1,0,1,3,4,4,4
79,20.433560,0.208980,0.007264,8317.836,16293.457,6360.570,0.096219,,0.0000,-539.465027,3.631618,10.418903,33.343063,10.938107,13.746099,12.660184,8.308250,3.852595,6.514069,3.344010,5.381125,-0.001762,unpitched,bright,soft,medium,1,1,0,1,1,1,1,1
80,20.642540,0.174150,0.068518,3024.011,6402.090,4498.663,0.019012,,0.0000,-424.312347,78.148666,59.838348,51.683678,26.931660,21.687180,18.836714,14.070744,8.152074,8.422800,-0.971760,-3.109704,-1.720413,unpitched,dark,medium,short,1,1,0,1,1,1,1,1
81,20.816689,0.243810,0.118229,1689.201,3381.692,3479.337,0.009965,,0.0000,-377.125183,110.607368,60.932674,53.994442,34.210838,20.369726,7.433096,4.458858,12.548935,19.652428,10.518033,3.874229,-2.589287,unpitched,dark,loud,medium,4,1,0,1,3,4,4,4
82,21.060499,0.278639,0.061765,3998.538,7952.930,4565.637,0.057882,,0.0000,-300.376099,73.094643,-11.240379,44.509808,27.344202,31.186026,16.436646,-2.108543,16.304266,16.158476,10.617776,5.543810,4.196668,unpitched,mid,medium,medium,4,1,0,1,3,4,4,4
83,21.339138,0.499229,0.075048,2744.886,5076.453,4085.422,0.017523,,0.0000,-390.238861,82.395653,49.410362,50.655350,32.820065,22.924109,13.144334,11.107861,14.211438,16.862848,8.014819,5.874820,2.901442,unpitched,dark,medium,long,5,1,2,3,4,5,5,5
84,21.838367,0.208980,0.060787,5316.288,10644.202,5083.238,0.098119,,0.0000,-335.225555,49.143452,-46.523243,13.827538,8.139697,25.571823,16.622059,-6.954193,12.102389,10.823682,10.462246,2.085636,-1.236749,unpitched,bright,medium,medium,1,1,0,1,1,1,1,1
85,22.047347,0.150930,0.024696,5208.270,11148.047,5530.101,0.069057,,0.0000,-347.109802,104.998489,-3.938051,-9.819265,-4.573200,-2.635002,-0.505373,6.881813,-4.677623,8.726099,3.534334,-0.916479,-0.713018,unpitched,bright,soft,short,1,1,0,1,1,1,1,1
86,22.198277,0.092880,0.017023,5211.871,11232.257,5615.897,0.080200,,0.0000,-398.223572,99.340378,-17.441511,-6.362954,15.784496,0.724793,-5.299139,8.807679,-8.652279,5.371953,4.257648,-3.360017,1.447992,unpitched,bright,soft,short,3,0,1,2,2,3,3,3
87,22.291156,0.174150,0.060322,3108.460,7217.661,4776.092,0.015289,,0.0000,-445.084625,74.602211,59.736984,55.223007,30.535173,20.895266,17.019352,10.540778,2.266548,4.508873,1.821477,2.214458,2.919991,unpitched,dark,medium,short,1,1,0,1,1,1,1,1
88,22.465306,0.185760,0.135139,1897.858,4112.842,3772.026,0.011460,,0.0000,-362.602020,116.211365,63.786392,53.792683,30.918051,17.204355,3.057084,3.616225,11.118855,15.465711,7.640166,2.236261,-2.663567,unpitched,dark,loud,short,1,1,0,1,1,1,1,1
89,22.651066,0.050000,0.048138,1183.015,1270.459,3356.692,0.003516,,0.0000,-415.134369,128.035110,23.563040,44.002907,38.072811,34.842781,19.803892,9.301060,18.278967,20.243553,12.683657,9.298855,4.458535,unpitched,dark,medium,short,5,1,2,3,4,5,5,5
90,22.697506,0.359909,0.044197,4370.318,9156.995,4955.012,0.052750,,0.0000,-375.107605,62.301914,-5.418510,41.236904,24.041332,28.940763,14.632678,-0.948893,13.644032,14.813457,10.562613,7.261710,4.983655,unpitched,mid,medium,long,5,1,2,3,4,5,5,5
91,23.057415,0.050000,0.001369,5529.419,14289.434,6531.565,0.039258,,0.0000,-574.222351,84.356194,38.773376,21.777554,2.268944,3.132746,2.237853,-6.530779,-3.059834,5.160674,1.559976,-5.114502,-11.688513,unpitched,bright,soft,short,5,1,2,3,4,5,5,5
92,23.092245,0.336689,0.106081,2331.145,4272.485,3756.426,0.023808,,0.0000,-324.750336,112.309662,37.908138,32.211014,23.642998,20.701117,13.290810,9.025708,6.634189,13.644408,8.191840,4.908266,0.463583,unpitched,dark,loud,long,2,1,2,3,4,2,2,2
93,23.428934,0.359909,0.045738,5928.350,11472.487,5284.251,0.091034,,0.0000,-344.057068,46.305099,-32.845013,16.740280,16.732758,23.515110,12.656300,0.656168,8.756144,12.454201,8.777466,2.856559,2.091854,unpitched,bright,medium,long,2,1,2,3,4,2,2,2
