index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster
737,186.525896,0.499229,0.016964,5092.501,8385.225,3733.354,0.159446,,0.0000,-345.361633,95.403900,-39.107849,14.846832,-1.884169,22.745466,-11.501652,3.646948,-10.075377,-3.436882,-12.815158,11.065296,-8.031056,unpitched,mid,soft,long,2
738,187.025125,0.267029,0.181763,3889.115,7961.902,4003.891,0.037821,,0.0000,-333.395233,40.794903,-7.721273,23.656639,33.929943,29.101648,15.842580,21.643026,21.350563,16.946264,5.328981,16.983112,11.055077,unpitched,mid,loud,medium,0
739,187.292154,0.220590,0.039276,7763.481,14441.243,5654.318,0.261914,,0.0000,-237.843781,24.323879,-30.195774,5.977096,13.824411,10.909987,-14.938817,13.451738,5.512933,2.011602,-15.053119,21.602850,0.297971,unpitched,bright,loud,medium,5
740,187.512744,0.290249,0.021017,7755.039,14652.517,5524.474,0.213642,,0.0000,-289.762665,1.078894,-38.161125,25.332022,17.554081,25.562784,-10.118989,24.521904,8.543001,8.048349,-13.672654,23.804150,2.297635,unpitched,bright,medium,long,5
741,187.802993,0.116100,0.298625,2765.409,5273.677,3504.714,0.070934,,0.0000,-257.266968,85.656746,5.720170,33.383286,22.737543,26.895912,3.583832,22.321983,16.881914,8.204166,5.220693,20.524061,7.635321,unpitched,dark,loud,short,0
742,187.919093,0.371519,0.044867,3443.915,6679.208,3725.783,0.044641,,0.0000,-331.231262,90.704292,-21.478090,37.923370,25.235405,27.853683,8.003738,5.214767,1.035973,11.992227,-1.598716,9.382657,5.455071,unpitched,mid,loud,long,1
743,188.290612,0.441179,0.023292,3849.714,7744.223,4206.753,0.079102,,0.0000,-368.647522,109.385101,-10.363578,25.435665,7.128214,28.956390,-12.223043,16.886454,0.553391,8.675784,-8.007325,10.647299,-2.750633,unpitched,mid,medium,long,1
744,188.731791,0.092880,0.358273,1193.835,2177.246,2604.515,0.006565,,0.0000,-282.754242,119.557587,14.245348,39.001179,26.652935,29.602692,22.439905,10.858196,15.427817,19.141609,4.941204,11.829494,13.645421,unpitched,dark,loud,short,0
745,188.824671,0.150930,0.300874,1635.991,3382.251,3057.330,0.005650,,0.0000,-292.628937,96.849892,24.700403,40.300861,24.189701,32.841763,11.989589,18.131374,16.841507,12.865913,11.982620,13.997006,10.534576,unpitched,dark,loud,short,0
746,188.975601,0.127710,0.058094,2032.503,4130.786,3259.987,0.011963,,0.0000,-339.213837,129.333649,-26.686087,15.666112,16.354553,20.145681,5.198438,11.110728,15.942763,15.943126,-0.677977,9.368150,10.517774,unpitched,dark,loud,short,1
747,189.103311,0.267029,0.191566,4783.410,8538.383,3875.202,0.071968,,0.0000,-322.108948,22.567741,11.563782,41.233814,25.978527,30.603020,8.597511,20.815086,13.581888,23.959724,7.997652,13.162130,12.736794,unpitched,mid,loud,medium,0
748,189.370340,0.127710,0.041265,4226.853,9261.072,5074.703,0.054525,,0.0000,-361.693115,71.297462,-15.992912,22.676117,18.509281,18.975328,14.460938,9.273782,10.152118,21.709776,-1.135693,12.929877,8.660536,unpitched,mid,loud,short,1
749,189.498050,0.220590,0.025117,6538.068,11315.698,4492.361,0.195996,,0.0000,-301.994415,27.700169,-26.248417,41.028091,-13.502558,19.273556,-0.928362,15.489616,0.328307,24.874037,-3.913946,6.275011,-2.576362,unpitched,bright,medium,medium,5
750,189.718639,0.162540,0.028957,4688.176,10077.539,5040.546,0.054199,,0.0000,-358.195312,69.589485,-15.951082,17.829046,10.224356,22.040815,6.404166,12.906066,8.676400,18.336384,-0.213978,15.015807,12.818015,unpitched,mid,medium,short,1
751,189.881179,0.243810,0.198919,1587.260,3221.171,2961.373,0.016446,,0.0000,-376.778717,69.690796,41.969517,27.663652,24.906822,25.228718,13.182694,20.354053,18.109037,18.446312,10.705410,14.291830,15.994010,unpitched,dark,loud,medium,0
752,190.124989,0.116100,0.026087,8253.646,13845.850,4768.367,0.281516,,0.0000,-298.523010,-17.671251,-20.900133,46.186539,0.110860,26.520416,4.359926,14.338751,-6.398468,26.579332,-4.648474,9.157253,-6.201535,unpitched,bright,medium,short,5
753,190.241088,0.127710,0.019058,3556.602,6372.034,3520.547,0.102498,,0.0000,-350.288544,109.165092,-38.970730,42.945866,-1.259353,11.373696,-8.452389,11.467224,-6.892823,11.970630,-11.357933,6.996379,-3.773370,unpitched,mid,medium,short,2
754,190.368798,0.290249,0.020954,5048.856,10518.970,4804.075,0.131554,,0.0000,-352.260773,92.993744,-17.535177,15.966261,1.425122,22.259174,-22.245461,17.474302,-6.622267,20.540834,-1.124422,8.097935,-4.313159,unpitched,mid,medium,long,3
755,190.659048,0.510839,0.024179,2695.266,4754.053,2988.674,0.046918,,0.0000,-347.609558,143.343643,-47.314247,30.567677,9.868982,18.173876,0.049782,9.717591,5.770037,9.242611,-7.250050,8.107330,0.569050,unpitched,dark,medium,long,1
756,191.169887,0.243810,0.199456,4291.825,9333.665,4651.141,0.038153,,0.0000,-310.127289,38.281662,7.739089,28.375435,34.369583,27.990942,5.970274,20.348618,17.117662,23.503609,5.287568,12.415695,7.243417,unpitched,mid,loud,medium,0
757,191.413696,0.278639,0.036039,6786.293,13298.045,5548.911,0.207168,,0.0000,-255.682892,43.275742,-22.431246,18.544121,22.275568,8.754655,-10.044255,8.606710,4.853400,5.130630,-9.717569,17.027781,2.364573,unpitched,bright,loud,long,5
758,191.692336,0.243810,0.026017,8644.186,15696.726,5661.980,0.242343,,0.0000,-261.132507,-4.150818,-23.773193,26.527727,19.318153,27.115650,-12.687905,25.402088,11.263518,13.472915,-10.377074,16.095530,-5.076462,unpitched,bright,medium,medium,5
759,191.936145,0.127710,0.274028,2465.988,4328.174,3295.664,0.068929,,0.0000,-293.012238,81.193054,11.708972,41.905807,26.463495,29.687712,2.641005,17.385870,16.647556,10.199689,4.989966,16.976934,7.577738,unpitched,dark,loud,short,0
760,192.063855,0.127710,0.096758,2632.902,5324.084,3351.480,0.026408,,0.0000,-253.451828,107.089287,-48.853390,49.646637,9.271003,29.237448,15.629559,8.059878,7.920557,27.393188,3.073995,10.167264,5.565449,unpitched,dark,loud,short,1
761,192.191565,0.243810,0.046090,1988.495,3941.555,3018.275,0.009477,,0.0000,-371.848267,133.165222,-14.632674,53.197201,16.739481,26.431660,9.085652,3.369216,8.400181,15.068603,4.969203,8.131511,8.322672,unpitched,dark,loud,medium,1
762,192.435374,0.278639,0.023501,4150.686,8669.268,4568.129,0.107598,,0.0000,-371.670593,101.003380,-23.077930,18.459332,15.775126,35.437122,-13.103690,24.900885,-6.560945,21.961557,-0.342221,4.384759,3.514049,unpitched,mid,medium,long,3
763,192.714014,0.162540,0.022652,3199.840,5834.062,3800.763,0.031185,,0.0000,-391.159149,115.101044,4.944658,45.674877,11.736174,23.714743,-0.943633,4.681526,-1.413887,10.288430,4.491041,3.347558,4.141397,unpitched,mid,medium,short,1
