index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
38,28.049705,0.050000,0.157340,2785.535,4978.477,3666.230,0.023340,106.253,0.0101,-212.403885,123.140259,24.381077,54.901539,28.215748,23.098673,7.126271,15.776466,4.944159,4.691690,-1.417852,-5.090598,4.908484,unpitched,bright,soft,short,1,0,0,1,2,2,3,4,3
39,28.084535,0.394739,0.154307,3505.126,7425.879,4122.817,0.039355,110.637,0.0337,-139.196930,100.606514,-24.272959,55.960629,25.250761,23.339144,2.773518,7.693695,1.955415,-3.032415,4.092195,7.992155,-1.347485,unpitched,bright,soft,long,3,0,0,1,1,1,2,2,4
40,28.479274,0.383129,0.184006,1793.098,3786.677,2973.149,0.011791,169.643,0.1390,-256.299164,173.145844,16.882284,21.366829,25.340988,28.918961,-8.484846,11.506755,-1.332617,-3.934486,-1.481036,0.357482,-4.701266,unpitched,mid,medium,medium,2,0,0,0,0,0,1,1,2
41,28.862404,0.406349,0.320873,811.988,1391.882,2048.647,0.008558,98.283,0.0100,-278.036896,202.350571,72.608543,33.029190,15.490328,27.293085,6.702960,17.091759,2.591260,2.926286,1.518686,5.249262,4.897472,unpitched,dark,loud,long,0,0,0,0,0,0,1,1,1
42,29.268753,0.394739,0.210000,1320.106,2793.779,2698.757,0.013281,109.051,0.0624,-287.749451,184.378525,67.424232,32.493683,7.195800,28.812511,2.486265,16.564444,-2.329004,-2.279855,-2.089665,2.612342,-0.666546,unpitched,dark,medium,long,1,0,0,0,0,0,1,1,1
43,29.663492,0.429569,0.201726,2516.245,5385.001,3491.927,0.021150,106.253,0.0660,-161.171570,130.403427,-24.713339,55.792152,26.536373,25.413351,2.950284,12.822791,1.678465,-3.012088,8.543704,3.033877,-2.324378,unpitched,mid,medium,long,2,0,0,1,1,1,2,2,2
44,30.093061,0.325079,0.157054,2933.461,6745.833,4224.578,0.018117,96.873,0.0110,-217.062531,99.651855,8.259586,64.428551,29.623228,24.572254,-1.978125,20.175840,-5.870483,0.185957,9.605921,-0.615403,2.150704,unpitched,bright,soft,medium,3,0,0,1,1,1,2,4,4
45,30.418141,0.069660,0.085177,3715.800,8219.531,4692.070,0.025809,88.833,0.0100,-221.400375,95.513603,13.204107,61.795406,26.250767,17.113092,-1.609246,12.776633,2.357177,-4.677492,12.649109,-9.736315,2.191671,unpitched,bright,soft,short,2,0,0,1,1,1,2,4,4
46,30.487800,0.255420,0.238444,941.855,1528.857,2466.275,0.011974,65.406,0.0100,-296.391418,166.014297,74.559105,45.886585,20.506891,32.888050,7.764916,23.794415,4.309793,4.811301,-0.958459,1.679958,2.376325,unpitched,dark,loud,medium,1,0,0,0,0,0,1,1,1
47,30.743220,0.534059,0.124554,2774.680,5982.107,3679.049,0.029588,86.304,0.0103,-224.530396,123.264496,-3.619700,58.192699,39.479099,26.804100,1.257912,21.116150,4.024201,-2.368686,9.516170,4.127143,-0.631330,unpitched,bright,soft,long,3,0,0,1,1,1,2,2,4
48,31.277279,0.371519,0.172295,3348.640,7274.308,4185.136,0.037686,82.884,0.1030,-143.788879,95.937309,-21.269304,58.945873,31.176262,28.641041,7.951729,12.830462,3.856754,0.379848,5.782526,10.253251,2.415453,unpitched,bright,medium,medium,3,0,0,1,1,1,2,2,4
49,31.648798,0.441179,0.129938,2400.691,4973.618,3298.574,0.022386,82.407,0.0662,-213.293121,151.286942,-14.606089,45.323975,31.112448,21.694332,-6.096824,14.608372,1.899473,-5.097404,5.256893,0.206324,-0.127963,unpitched,mid,soft,long,2,0,0,1,1,1,2,2,2
50,32.089977,0.267029,0.281774,1018.301,1969.391,2446.682,0.010742,82.884,0.0190,-279.083282,176.337570,74.385704,41.279613,17.339270,32.180210,6.100992,20.095242,-0.053046,1.920440,1.286997,6.400513,7.422371,unpitched,dark,loud,medium,0,0,0,0,0,0,1,1,1
51,32.357007,0.127710,0.246321,761.385,1001.294,2176.529,0.004272,82.646,0.0263,-300.089325,195.245468,66.014641,34.031883,30.681231,22.147415,14.876546,12.241225,3.013249,-3.770519,-0.674843,3.350748,5.923922,unpitched,dark,loud,short,0,0,0,0,0,0,0,0,0
52,32.484717,0.139320,0.275981,2422.624,6093.896,4056.523,0.014123,82.407,0.1657,-240.815582,124.641129,80.531059,61.426819,-3.824366,47.476547,-3.346879,24.429678,-9.984026,2.075876,-3.618956,8.396366,4.675721,unpitched,mid,loud,short,1,0,0,1,2,2,3,3,3
53,32.624036,0.220590,0.258634,595.586,837.642,1816.268,0.007593,82.884,0.1041,-329.288147,199.641327,77.597198,39.434849,29.021112,17.534878,15.708334,18.869951,3.437900,-6.740751,-0.727316,3.984446,7.053256,unpitched,dark,loud,short,0,0,0,0,0,0,0,0,0
54,32.844626,0.050000,0.181121,1655.416,3402.246,3341.011,0.006055,82.884,0.0909,-234.426727,152.330887,23.500530,50.381306,35.422153,22.438885,14.070044,13.704117,6.472139,4.766469,-5.160946,-6.892289,11.467745,unpitched,mid,medium,short,0,0,0,0,0,0,0,0,0
55,32.891066,0.394739,0.104467,4341.962,8941.346,4520.149,0.059728,82.884,0.0672,-152.198074,78.643715,-21.469336,61.112858,26.645466,22.150522,1.124589,9.500604,-1.412666,-4.848118,4.288738,3.024511,-1.927779,unpitched,bright,soft,long,2,0,0,1,1,1,2,2,4
56,33.285805,0.383129,0.122390,1884.590,3580.845,3057.105,0.021111,82.407,0.1188,-309.104492,151.242111,34.620968,48.418465,40.781349,28.839460,-2.544656,20.874920,1.033750,-4.263508,1.809836,5.526879,3.292548,unpitched,mid,soft,medium,0,0,0,0,0,0,1,1,1
57,33.668934,0.406349,0.191084,871.706,1350.012,2404.808,0.007867,65.406,0.0102,-324.047455,166.404694,66.040070,43.348583,28.525103,30.525600,9.028013,21.668514,3.807012,1.791416,0.081831,4.885905,6.439206,unpitched,dark,medium,long,0,0,0,0,0,0,1,1,1
58,34.075283,0.394739,0.172249,1043.181,2103.486,2566.118,0.010449,75.132,0.0100,-333.630859,161.901581,81.984612,44.850883,18.331865,35.431377,11.295227,18.273922,-1.065787,0.904878,0.521363,7.169932,9.913134,unpitched,dark,medium,long,0,0,0,0,0,0,1,1,1
59,34.470023,0.417959,0.123150,2680.298,5386.793,3346.356,0.033665,174.614,0.0573,-180.739426,138.462234,-33.997509,49.133423,25.021950,22.458004,1.701038,6.756769,2.768589,-4.173930,8.206607,6.179022,-1.234992,unpitched,bright,soft,long,3,0,0,1,1,1,2,2,2
60,34.887982,0.383129,0.234915,1517.230,3229.347,2644.829,0.011949,84.822,0.0137,-269.573608,173.525711,36.582943,38.125137,26.823280,33.571190,2.582208,18.298897,-1.945315,2.732412,6.290586,9.967122,11.363745,unpitched,dark,loud,medium,0,0,0,0,0,0,1,1,1
61,35.271111,0.278639,0.312178,1093.023,2125.758,2511.335,0.009336,74.916,0.0140,-250.281586,180.747360,67.146263,34.338020,13.928960,32.334766,7.967144,18.381395,0.624007,4.244638,1.024793,6.218624,7.455035,unpitched,dark,loud,medium,0,0,0,0,0,0,1,1,1
62,35.549751,0.127710,0.312468,1055.278,2004.382,2394.657,0.005452,79.838,0.0128,-255.724930,185.490921,48.163914,27.324060,27.157751,18.380281,14.427686,18.280586,7.392336,-1.351723,7.912128,12.468548,12.931661,unpitched,dark,loud,short,0,0,0,0,0,0,0,0,0
